File,Number of Available Items,Number of Packed Items,Solve Time,Total Knapsack Value,Capacity
0,ks_60_0,60,8,0.009755134582519531,99837,100000
1,ks_4_0,4,2,4.0531158447265625e-06,19,11
2,ks_45_0,45,2,0.005491018295288086,23974,58181
3,ks_30_0,30,9,0.006640911102294922,99798,100000
4,ks_10000_0,10000,15,59.77567911148071,1099893,1000000
5,ks_300_0,300,8,6.656116008758545,1688692,4040184
6,ks_200_0,200,4,0.018590927124023438,100236,100000
7,ks_100_1,100,5,0.9181528091430664,1333930,3190802
8,ks_100_0,100,8,0.010127067565917969,99837,100000
9,ks_200_1,200,5,1.7004890441894531,1103604,2640230
10,ks_500_0,500,11,0.07375597953796387,54939,50000
11,ks_400_0,400,6,14.79023003578186,3967180,9486367
12,ks_19_0,19,5,0.0010988712310791016,12248,31181
13,ks_100_2,100,10,0.004911899566650391,10892,10000
14,ks_106_0,106,14,38.96690797805786,106925262,106925262
15,ks_40_0,40,8,0.008027791976928711,99924,100000
16,ks_82_0,82,5,15.66155195236206,104723596,104723596
17,ks_50_0,50,3,0.07679080963134766,142156,341045
18,ks_50_1,50,12,0.0033948421478271484,5345,5000
19,ks_1000_0,1000,18,0.8691580295562744,109899,100000
